day,hour,aqi_mean_pm25,nh3_aqi,co_aqi,no2_aqi,o3_aqi,pm10_aqi,pm25_aqi,so2_aqi,good_l,sat_l,mod_l,poor_l,vpoor_l,sev_l,good_h,sat_h,mod_h,poor_h,vpoor_h,sev_h,n
0,0,140.81184,13.293462,25.307692,60.121475,,,187.90266,28.604486,0,50,100,200,300,400,50,100,200,300,400,500,.041666668
0,1,140.81184,11.398987,23.702703,54.116554,,,169.93781,26.998985,0,50,100,200,300,400,50,100,200,300,400,500,.083333336
0,2,140.81184,10.200069,21.916666,51.313957,,,154.42365,24.668404,0,50,100,200,300,400,50,100,200,300,400,500,.125
0,3,140.81184,10.775556,22.388889,52.473335,,,152.29106,22.752777,0,50,100,200,300,400,50,100,200,300,400,500,.16666667
0,4,140.81184,11.778828,20.734375,53.437107,,,160.74808,29.189844,0,50,100,200,300,400,50,100,200,300,400,500,.20833333
0,5,140.81184,12.746797,22.890625,56.79953,,,163.19299,30.111719,0,50,100,200,300,400,50,100,200,300,400,500,.25
0,6,140.81184,11.064714,22,57.130142,,,170.16348,27.832857,0,50,100,200,300,400,50,100,200,300,400,500,.29166666
0,7,140.81184,10.988681,20.333334,57.136112,,,172.2959,31.592709,0,50,100,200,300,400,50,100,200,300,400,500,.33333334
0,8,140.81184,11.085238,22.035715,61.207977,,,147.56633,31.049662,0,50,100,200,300,400,50,100,200,300,400,500,.375
0,9,140.81184,9.6201134,18.5,54.739262,,,129.99376,22.855114,0,50,100,200,300,400,50,100,200,300,400,500,.41666666
0,10,140.81184,9.389205,21.681818,52.325851,,,119.41352,20.413637,0,50,100,200,300,400,50,100,200,300,400,500,.45833334
0,11,140.81184,8.2376137,18.25,48.77784,,,109.44534,16.533806,0,50,100,200,300,400,50,100,200,300,400,500,.5
0,12,140.81184,8.0815344,16.96591,44.417896,,,107.99773,13.176704,0,50,100,200,300,400,50,100,200,300,400,500,.54166669
0,13,140.81184,8.2160225,18.03409,44.549149,,,109.43523,15.426136,0,50,100,200,300,400,50,100,200,300,400,500,.58333331
0,14,140.81184,8.4261904,17.440475,43.970535,,,108.00079,11.119346,0,50,100,200,300,400,50,100,200,300,400,500,.625
0,15,140.81184,8.7701387,14.647058,43.795834,,,117.88843,11.938541,0,50,100,200,300,400,50,100,200,300,400,500,.66666669
0,16,140.81184,8.2078476,18.527779,46.633678,,,108.65092,12.617014,0,50,100,200,300,400,50,100,200,300,400,500,.70833331
0,17,140.81184,8.1575003,19.621212,43.937878,,,103.07929,15.527652,0,50,100,200,300,400,50,100,200,300,400,500,.75
0,18,140.81184,9.4027348,20.125,46.27578,,,114.12396,17.190624,0,50,100,200,300,400,50,100,200,300,400,500,.79166669
0,19,140.81184,9.8061028,23.352942,49.801472,,,124.76716,20.916176,0,50,100,200,300,400,50,100,200,300,400,500,.83333331
0,20,140.81184,9.7921877,29.15625,52.694141,,,149.47917,19.010548,0,50,100,200,300,400,50,100,200,300,400,500,.875
0,21,140.81184,11.480938,38.128906,61.433361,,,164.33626,19.779688,0,50,100,200,300,400,50,100,200,300,400,500,.91666669
0,22,140.81184,12.581597,38.875,62.61882,,,179.58017,17.235069,0,50,100,200,300,400,50,100,200,300,400,500,.95833331
