day,hour,aqi_mean_pm25,nh3_aqi,co_aqi,no2_aqi,o3_aqi,pm10_aqi,pm25_aqi,so2_aqi,good_l,sat_l,mod_l,poor_l,vpoor_l,sev_l,good_h,sat_h,mod_h,poor_h,vpoor_h,sev_h,n
0,0,339.94843,21.032499,27.021429,54.124573,,,343.4921,15.851954,0,50,100,200,300,400,50,100,200,300,400,500,.041666668
0,1,339.94843,22.641447,30.092106,49.43671,,,348.66364,14.491118,0,50,100,200,300,400,50,100,200,300,400,500,.083333336
0,2,339.94843,17.373718,31.76923,44.549614,,,352.50922,12.808013,0,50,100,200,300,400,50,100,200,300,400,500,.125
0,3,339.94843,13.398571,29.728571,40.252499,,,335.30396,11.455714,0,50,100,200,300,400,50,100,200,300,400,500,.16666667
0,4,339.94843,13.39375,22.342106,40.72237,,,317.83725,10.747369,0,50,100,200,300,400,50,100,200,300,400,500,.20833333
0,5,339.94843,12.7115,23.799999,38.855625,,,301.39539,8.9590626,0,50,100,200,300,400,50,100,200,300,400,500,.25
0,6,339.94843,12.004227,21.988094,38.301785,,,302.46655,9.0419645,0,50,100,200,300,400,50,100,200,300,400,500,.29166666
0,7,339.94843,12.593011,26.84091,38.065624,,,319.21118,8.0718746,0,50,100,200,300,400,50,100,200,300,400,500,.33333334
0,8,339.94843,13.949792,25.302084,40.242241,,,322.96191,10.904948,0,50,100,200,300,400,50,100,200,300,400,500,.375
0,9,339.94843,15.41,25.48913,44.701248,,,331.44098,16.246195,0,50,100,200,300,400,50,100,200,300,400,500,.41666666
0,10,339.94843,13.569574,27.80851,40.417233,,,336.21548,17.415426,0,50,100,200,300,400,50,100,200,300,400,500,.45833334
0,11,339.94843,12.616861,29.033333,38.695744,,,328.35443,16.584309,0,50,100,200,300,400,50,100,200,300,400,500,.5
0,12,339.94843,12.056719,21.979166,35.72604,,,341.50934,14.433073,0,50,100,200,300,400,50,100,200,300,400,500,.54166669
0,13,339.94843,12.27651,27.75,36.682552,,,336.00528,14.36712,0,50,100,200,300,400,50,100,200,300,400,500,.58333331
0,14,339.94843,12.596413,32.5625,35.675816,,,337.25452,11.351902,0,50,100,200,300,400,50,100,200,300,400,500,.625
0,15,339.94843,11.306304,24.369566,34.082882,,,341.83661,10.435055,0,50,100,200,300,400,50,100,200,300,400,500,.66666669
0,16,339.94843,10.727898,29.704546,35.180115,,,341.09113,12.157671,0,50,100,200,300,400,50,100,200,300,400,500,.70833331
0,17,339.94843,10.930738,32.090908,36.922726,,,351.87622,12.565057,0,50,100,200,300,400,50,100,200,300,400,500,.75
0,18,339.94843,12.343068,31.113636,41.056534,,,351.02344,12.911364,0,50,100,200,300,400,50,100,200,300,400,500,.79166669
0,19,339.94843,13.285284,34.579544,43.609829,,,359.44632,14.141762,0,50,100,200,300,400,50,100,200,300,400,500,.83333331
0,20,339.94843,14.609488,39.55682,45.93449,,,361.47623,14.92983,0,50,100,200,300,400,50,100,200,300,400,500,.875
0,21,339.94843,17.466194,41.34375,48.520851,,,364.0257,16.460796,0,50,100,200,300,400,50,100,200,300,400,500,.91666669
0,22,339.94843,16.837273,32.034092,47.579433,,,368.48743,17.838636,0,50,100,200,300,400,50,100,200,300,400,500,.95833331
0,23,,15.9565,27.811111,46.210667,,,361.77789,16.737778,,,,,,,,,,,,,1
1,0,,13.969687,22.170732,39.62439,,,338.46777,14.572256,,,,,,,,,,,,,1.0416666
1,1,330.13269,14.061923,25.102564,41.322117,,,333.02502,14.454276,0,50,100,200,300,400,50,100,200,300,400,500,1.0833334
1,2,330.13269,12.913488,20.255814,37.855522,,,309.33841,12.506977,0,50,100,200,300,400,50,100,200,300,400,500,1.125
1,3,330.13269,11.825397,23.295454,36.106533,,,319.86789,9.52983,0,50,100,200,300,400,50,100,200,300,400,500,1.1666666
1,4,330.13269,12.184603,20.693182,36.692612,,,317.40588,9.8190336,0,50,100,200,300,400,50,100,200,300,400,500,1.2083334
1,5,330.13269,12.031555,23.233334,35.773056,,,319.80167,10.660277,0,50,100,200,300,400,50,100,200,300,400,500,1.25
1,6,330.13269,11.50946,33.198978,34.800243,,,300.16309,9.2325983,0,50,100,200,300,400,50,100,200,300,400,500,1.2916666
1,7,330.13269,12.04524,29.346153,36.773079,,,304.72516,11.316346,0,50,100,200,300,400,50,100,200,300,400,500,1.3333334
1,8,330.13269,11.725357,34.316326,38.434441,,,307.71323,14.271938,0,50,100,200,300,400,50,100,200,300,400,500,1.375
1,9,330.13269,11.983854,30.677084,37.853386,,,322.30786,18.800261,0,50,100,200,300,400,50,100,200,300,400,500,1.4166666
1,10,330.13269,10.912807,30.007652,36.451275,,,324.6774,19.445152,0,50,100,200,300,400,50,100,200,300,400,500,1.4583334
1,11,330.13269,11.137447,32.21154,36.428123,,,318.22464,20.23798,0,50,100,200,300,400,50,100,200,300,400,500,1.5
1,12,330.13269,9.910511,29.317308,34.960796,,,322.31622,17.919712,0,50,100,200,300,400,50,100,200,300,400,500,1.5416666
1,13,330.13269,10.012656,26.190001,35.611717,,,328.73721,24.112389,0,50,100,200,300,400,50,100,200,300,400,500,1.5833334
1,14,330.13269,11.391355,22.85577,38.45052,,,338.0632,18.804808,0,50,100,200,300,400,50,100,200,300,400,500,1.625
1,15,330.13269,11.032549,25.89423,40.922356,,,336.90247,16.585577,0,50,100,200,300,400,50,100,200,300,400,500,1.6666666
1,16,330.13269,10.9525,28.92548,40.744473,,,333.78946,14.429087,0,50,100,200,300,400,50,100,200,300,400,500,1.7083334
1,17,330.13269,10.389948,26.89423,38.282452,,,330.70181,14.506491,0,50,100,200,300,400,50,100,200,300,400,500,1.75
1,18,330.13269,10.604844,33.25,38.600239,,,334.76184,13.683894,0,50,100,200,300,400,50,100,200,300,400,500,1.7916666
1,19,330.13269,11.506354,35.990383,40.135338,,,342.25345,15.498798,0,50,100,200,300,400,50,100,200,300,400,500,1.8333334
1,20,330.13269,12.593906,39.25721,40.987019,,,356.66327,17.178366,0,50,100,200,300,400,50,100,200,300,400,500,1.875
1,21,330.13269,12.699115,36.05048,40.280769,,,362.04675,19.025961,0,50,100,200,300,400,50,100,200,300,400,500,1.9166666
1,22,330.13269,12.136198,29.461538,39.462261,,,359.04309,17.669472,0,50,100,200,300,400,50,100,200,300,400,500,1.9583334
1,23,,12.092128,30.210785,38.161274,,,353.48282,17.459314,,,,,,,,,,,,,2
2,0,,13.938125,33.581081,41.245743,,,355.98599,14.278041,,,,,,,,,,,,,2.0416667
2,1,326.07693,11.809999,25.3125,39.573475,,,346.42007,13.921037,0,50,100,200,300,400,50,100,200,300,400,500,2.0833333
2,2,326.07693,11.470465,32.244186,37.5,,,348.21841,12.163081,0,50,100,200,300,400,50,100,200,300,400,500,2.125
2,3,326.07693,11.018871,21.048388,39.07621,,,332.48901,12.141532,0,50,100,200,300,400,50,100,200,300,400,500,2.1666667
2,4,326.07693,10.372786,24.971428,35.752705,,,314.75446,10.985135,0,50,100,200,300,400,50,100,200,300,400,500,2.2083333
2,5,326.07693,10.425138,22.902779,34.110626,,,292.52045,11.0575,0,50,100,200,300,400,50,100,200,300,400,500,2.25
2,6,326.07693,10.881602,24.26923,35.656685,,,299.43869,10.307849,0,50,100,200,300,400,50,100,200,300,400,500,2.2916667
2,7,326.07693,11.2015,28.325001,36.456379,,,306.07657,10.188266,0,50,100,200,300,400,50,100,200,300,400,500,2.3333333
2,8,326.07693,12.8025,35.833332,38.243752,,,309.93219,13.339904,0,50,100,200,300,400,50,100,200,300,400,500,2.375
2,9,326.07693,13.080885,28.947916,40.098316,,,316.03091,19.165384,0,50,100,200,300,400,50,100,200,300,400,500,2.4166667
2,10,326.07693,12.163424,28.532608,38.73175,,,321.91159,22.977751,0,50,100,200,300,400,50,100,200,300,400,500,2.4583333
2,11,326.07693,11.466218,25.1875,37.690697,,,361.99988,25.182671,0,50,100,200,300,400,50,100,200,300,400,500,2.5
2,12,326.07693,11.363611,24.637501,36.491875,,,317.54678,21.405682,0,50,100,200,300,400,50,100,200,300,400,500,2.5416667
2,13,326.07693,12.784875,24.88372,35.35284,,,296.88452,19.223671,0,50,100,200,300,400,50,100,200,300,400,500,2.5833333
2,14,326.07693,10.555598,28.206522,39.952251,,,305.66116,14.618,0,50,100,200,300,400,50,100,200,300,400,500,2.625
2,15,326.07693,10.424531,24.635416,38.405529,,,309.25867,16.728846,0,50,100,200,300,400,50,100,200,300,400,500,2.6666667
2,16,326.07693,10.267136,26.916666,35.791828,,,319.5636,13.81274,0,50,100,200,300,400,50,100,200,300,400,500,2.7083333
2,17,326.07693,10.566823,28.458334,36.098557,,,321.05417,13.097116,0,50,100,200,300,400,50,100,200,300,400,500,2.75
2,18,326.07693,11.529333,31.688889,38.938267,,,324.21408,12.266327,0,50,100,200,300,400,50,100,200,300,400,500,2.7916667
2,19,326.07693,13.061989,36.083332,38.943748,,,334.40198,14.621094,0,50,100,200,300,400,50,100,200,300,400,500,2.8333333
2,20,326.07693,13.179205,41.636364,41.102604,,,348.85474,16.522396,0,50,100,200,300,400,50,100,200,300,400,500,2.875
2,21,326.07693,15.019091,44.681549,43.853905,,,352.15567,19.043228,0,50,100,200,300,400,50,100,200,300,400,500,2.9166667
