aqi_parameter,nh3_aqi,co_aqi,no2_aqi,o3_aqi,pm10_aqi,pm25_aqi,so2_aqi,good_l,sat_l,mod_l,poor_l,vpoor_l,sev_l,good_h,sat_h,mod_h,poor_h,vpoor_h,sev_h,n,aqi
Ammonia,13.096985,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,.25,13.096985
Ammonia,12.94025,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,.5,12.94025
Ammonia,12.822283,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,.75,12.822283
Ammonia,12.320906,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,1,12.320906
Ammonia,12.224239,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,1.25,12.224239
Ammonia,12.036728,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,1.5,12.036728
Ammonia,11.693162,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,1.75,11.693162
Ammonia,11.448657,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,2,11.448657
Ammonia,11.112202,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,2.25,11.112202
Ammonia,10.965074,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,2.5,10.965074
Ammonia,10.745947,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,2.75,10.745947
Ammonia,10.442727,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,3,10.442727
Ammonia,10.318295,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,3.25,10.318295
Ammonia,10.3305,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,3.5,10.3305
Ammonia,10.194649,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,3.75,10.194649
Ammonia,10.207227,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,4,10.207227
Ammonia,10.267461,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,4.25,10.267461
Ammonia,10.229008,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,4.5,10.229008
Ammonia,10.14332,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,4.75,10.14332
Ammonia,9.9928904,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,5,9.9928904
Ammonia,10.068945,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,5.25,10.068945
Ammonia,10.166856,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,5.5,10.166856
Ammonia,10.142083,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,5.75,10.142083
Ammonia,10.155682,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,6,10.155682
Ammonia,10.307462,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,6.25,10.307462
Ammonia,10.181319,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,6.5,10.181319
Ammonia,10.385137,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,6.75,10.385137
Ammonia,10.465616,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,7,10.465616
Ammonia,10.398924,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,7.25,10.398924
Ammonia,10.481875,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,7.5,10.481875
Ammonia,9.8801041,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,7.75,9.8801041
Ammonia,9.8317013,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,8,9.8317013
Ammonia,10.074436,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,8.25,10.074436
Ammonia,10.394757,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,8.5,10.394757
Ammonia,10.754178,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,8.75,10.754178
Ammonia,10.553851,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,9,10.553851
Ammonia,10.314178,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,9.25,10.314178
Ammonia,10.1825,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,9.5,10.1825
Ammonia,9.9989042,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,9.75,9.9989042
Ammonia,9.9695206,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,10,9.9695206
Ammonia,9.9537315,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,10.25,9.9537315
Ammonia,9.6668386,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,10.5,9.6668386
Ammonia,9.4298925,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,10.75,9.4298925
Ammonia,9.2813568,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,11,9.2813568
Ammonia,9.0786953,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,11.25,9.0786953
Ammonia,8.6655436,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,11.5,8.6655436
Ammonia,8.6537857,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,11.75,8.6537857
Ammonia,8.5998926,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,12,8.5998926
Ammonia,8.2498608,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,12.25,8.2498608
Ammonia,8.4312162,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,12.5,8.4312162
Ammonia,8.0190334,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,12.75,8.0190334
Ammonia,7.8100338,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,13,7.8100338
Ammonia,7.7981162,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,13.25,7.7981162
Ammonia,7.8083668,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,13.5,7.8083668
Ammonia,7.6558905,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,13.75,7.6558905
Ammonia,7.6250348,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,14,7.6250348
Ammonia,7.8269863,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,14.25,7.8269863
Ammonia,7.7113175,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,14.5,7.7113175
Ammonia,7.6681418,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,14.75,7.6681418
Ammonia,7.6411109,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,15,7.6411109
Ammonia,7.7591667,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,15.25,7.7591667
Ammonia,7.651123,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,15.5,7.651123
Ammonia,7.6165714,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,15.75,7.6165714
Ammonia,7.422935,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,16,7.422935
Ammonia,7.4234056,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,16.25,7.4234056
Ammonia,7.4753261,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,16.5,7.4753261
Ammonia,7.470037,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,16.75,7.470037
Ammonia,7.4557462,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,17,7.4557462
Ammonia,7.465261,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,17.25,7.465261
Ammonia,7.5250726,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,17.5,7.5250726
Ammonia,7.7148895,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,17.75,7.7148895
Ammonia,7.7035294,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,18,7.7035294
Ammonia,7.9019485,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,18.25,7.9019485
Ammonia,7.9410663,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,18.5,7.9410663
Ammonia,7.8304849,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,18.75,7.8304849
Ammonia,8.1518564,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,19,8.1518564
Ammonia,8.5841799,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,19.25,8.5841799
Ammonia,8.9931059,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,19.5,8.9931059
Ammonia,9.2387123,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,19.75,9.2387123
Ammonia,9.5326138,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,20,9.5326138
Ammonia,9.927846,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,20.25,9.927846
Ammonia,10.386523,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,20.5,10.386523
Ammonia,10.832423,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,20.75,10.832423
Ammonia,11.020269,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,21,11.020269
Ammonia,11.038945,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,21.25,11.038945
Ammonia,11.139654,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,21.5,11.139654
Ammonia,11.434115,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,21.75,11.434115
Ammonia,11.711423,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,22,11.711423
Ammonia,12.048846,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,22.25,12.048846
Ammonia,12.494616,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,22.5,12.494616
Ammonia,12.6925,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,22.75,12.6925
Ammonia,12.610758,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,23,12.610758
Ammonia,12.645186,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,23.25,12.645186
Ammonia,12.99125,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,23.5,12.99125
Ammonia,13.016515,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,23.75,13.016515
Ammonia,13.052537,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,24,13.052537
Carbon Monoxide,,27.26103,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,.25,27.26103
Carbon Monoxide,,25.826786,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,.5,25.826786
Carbon Monoxide,,26.922102,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,.75,26.922102
Carbon Monoxide,,26.47826,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,1,26.47826
Carbon Monoxide,,26.289856,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,1.25,26.289856
Carbon Monoxide,,24.284927,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,1.5,24.284927
Carbon Monoxide,,24.976103,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,1.75,24.976103
Carbon Monoxide,,24.40485,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,2,24.40485
Carbon Monoxide,,24.895523,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,2.25,24.895523
Carbon Monoxide,,22.720589,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,2.5,22.720589
Carbon Monoxide,,23.35606,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,2.75,23.35606
Carbon Monoxide,,23.09091,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,3,23.09091
Carbon Monoxide,,22.113636,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,3.25,22.113636
Carbon Monoxide,,20.353846,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,3.5,20.353846
Carbon Monoxide,,21.164063,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,3.75,21.164063
Carbon Monoxide,,21.015625,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,4,21.015625
Carbon Monoxide,,21.761906,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,4.25,21.761906
Carbon Monoxide,,20.277779,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,4.5,20.277779
Carbon Monoxide,,21.039063,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,4.75,21.039063
Carbon Monoxide,,20.929688,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,5,20.929688
Carbon Monoxide,,20.523438,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,5.25,20.523438
Carbon Monoxide,,21.399622,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,5.5,21.399622
Carbon Monoxide,,23.198864,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,5.75,23.198864
Carbon Monoxide,,22.5625,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,6,22.5625
Carbon Monoxide,,22.075758,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,6.25,22.075758
Carbon Monoxide,,21.673611,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,6.5,21.673611
Carbon Monoxide,,23.143835,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,6.75,23.143835
Carbon Monoxide,,22.726027,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,7,22.726027
Carbon Monoxide,,23.159721,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,7.25,23.159721
