aqi_parameter,nh3_aqi,co_aqi,no2_aqi,o3_aqi,pm10_aqi,pm25_aqi,so2_aqi,good_l,sat_l,mod_l,poor_l,vpoor_l,sev_l,good_h,sat_h,mod_h,poor_h,vpoor_h,sev_h,n,aqi
Ammonia,16.377266,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,.25,16.377266
Ammonia,17.011835,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,.5,17.011835
Ammonia,16.916428,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,.75,16.916428
Ammonia,17.786049,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,1,17.786049
Ammonia,17.708828,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,1.25,17.708828
Ammonia,17.916727,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,1.5,17.916727
Ammonia,17.818663,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,1.75,17.818663
Ammonia,17.376514,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,2,17.376514
Ammonia,16.852289,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,2.25,16.852289
Ammonia,15.993,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,2.5,15.993
Ammonia,15.281918,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,2.75,15.281918
Ammonia,14.99029,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,3,14.99029
Ammonia,15.324846,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,3.25,15.324846
Ammonia,14.357578,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,3.5,14.357578
Ammonia,14.128294,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,3.75,14.128294
Ammonia,14.394773,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,4,14.394773
Ammonia,14.152279,,,,,,,0,50,100,200,300,400,50,100,200,300,400,500,4.25,14.152279
